team,team_name,location,performance_metrics,social_and_awards,scouting_summary
25225,Afton Robotics,Romania,Rank: 12 | Record: 2W-4L-0T | OPR: 102.0 (No-Penalty OPR: 98.7) | Auto OPR: 37.9 | DC OPR: 60.7,Socials: Instagram: @afton_robotics | Awards: Innovate Award sponsored by RTX (Romania Championship Vlaicu Division),"Afton Robotics is a rapidly improving Romanian team, debuting in 2023. They feature a remarkably high autonomous OPR of 37.9, which is among the highest in this division, despite their lower driver-controlled OPR of 60.7. This indicates a highly capable programming team and a reliable autonomous routine. They won the Innovate Award at the Romania Championship, highlighting their creative design solutions. They represent an ideal 'specialist' alliance pick for teams that already have high teleop scoring but need a dominant auto partner."
25039,Golden Horn Jr.,"Istanbul, Turkey",Rank: 1 | Record: 5W-0L-0T | OPR: 106.3 (No-Penalty OPR: 97.9) | Auto OPR: 19.9 | DC OPR: 77.9,"Socials: Instagram: @goldenhorn_jr, Youtube: Jr. Robotics | Awards: 1st Selected in Winning Alliance (3rd Piri Reis Tournament)","Golden Horn Jr. is an elite local team from Istanbul, Turkey, that has made waves with their robot 'Jörmangandr.' They have a strong OPR of 106.3 and a dominant teleop OPR of 77.9. They are affiliated with the Jr. Robotics organization, documenting their development cycle and code repositories online. Their recent victory as the 1st selected team in the Winning Alliance at the 3rd Piri Reis Tournament proves their high reliability and compatibility in alliance play."
12524,Sputnik,"St. Petersburg, Russia",Rank: 2 | Record: 5W-0L-0T | OPR: 128.7 (No-Penalty OPR: 89.6) | Auto OPR: 25.7 | DC OPR: 63.8,"Socials: Website: sputnik.lab244.ru, Vk: sputnik_robotics | Awards: Inspire Award (2024 & 2025 Italy Championship); 3rd place Connect Award (FTC World Championship)","Sputnik is a legendary team with a rich history dating back to 2016. Operating with an OPR of 128.7, they feature a highly experienced drive team and robust custom hardware. They have won back-to-back Inspire Awards at the Italy Championship and placed 3rd for the Connect Award at the World Championship. They maintain a comprehensive website with open-source code and extensive tutorial documents, representing the absolute gold standard of FTC engineering and outreach. They are a premier alliance candidate."
26075,Vampire Robotics,"Bucharest, Romania",Rank: 4 | Record: 5W-1L-0T | OPR: 96.5 (No-Penalty OPR: 84.9) | Auto OPR: 24.0 | DC OPR: 60.9,"Socials: Website: vampirerobotics.com, Instagram: @vampirerobotics | Awards: local championship awards","Representing the 'Tudor Vladimirescu' National College in Bucharest, Vampire Robotics has established a strong presence since their rookie year in 2024. They have a solid OPR of 96.5 (24.0 Auto, 60.9 Driver-Controlled). They are known in the Romanian community for their highly optimized shooter and hood mechanisms, which they document on Instagram and YouTube. They are a reliable middle-tier scoring machine with excellent custom design elements."
19084,Zenith,"Bucharest, Romania",Rank: 2 | Record: 5W-1L-0T | OPR: 101.2 (No-Penalty OPR: 82.9) | Auto OPR: 24.1 | DC OPR: 58.8,Socials: Instagram: @zenith_ftc | Awards: Think Award; regional qualifier awards,"Zenith represents the 'Grigore Moisil' National College in Bucharest, Romania. Competing since 2020, they have an OPR of 101.2 and a reliable auto OPR of 24.1. They won the Think Award, reflecting their excellent engineering portfolio and structured design process. They are highly active on Instagram, sharing detailed CAD posts and community outreach projects. They are a very stable and well-rounded team that would bring high reliability to any alliance."
28675,BrainPower,"Macaresti, Moldova",Rank: 1 | Record: 6W-0L-0T | OPR: 139.7 (No-Penalty OPR: 82.2) | Auto OPR: 10.5 | DC OPR: 71.8,Socials: No social media found | Awards: Moldova Championship awards,"BrainPower is a competitive Moldovan team that debuted in 2024. They have a strong overall OPR of 139.7, which is primarily driven by their high teleop scoring (71.8 DC OPR) despite a lower autonomous score (10.5 Auto OPR). They are highly active in the national Moldovan FTC circuit. They are a great fit for alliances that can cover the autonomous phase and need a powerful driver-controlled scorer to finish the match."
19001,SYRE,"Cape Town, South Africa",Rank: 13 | Record: 3W-3L-0T | OPR: 78.5 (No-Penalty OPR: 78.3) | Auto OPR: 22.9 | DC OPR: 55.4,Socials: Instagram: @syre_robotics | Awards: Control Award; Think Award (South Africa Championship),"SYRE is South Africa's leading FTC team, based in Cape Town. Operating with a balanced OPR of 78.5 (22.9 Auto, 55.4 Driver-Controlled), they have repeatedly won the Control and Think Awards at the South African Championship. They are highly active on Instagram, showcasing their clean coding standards and advanced sensory feedback systems. They represent an excellent, high-intelligence alliance partner with great control and autonomous adaptation."
33333,WoEN:EDGE,"St. Petersburg, Russia",Rank: 2 | Record: 5W-1L-0T | OPR: 92.7 (No-Penalty OPR: 77.3) | Auto OPR: 14.4 | DC OPR: 63.0,Socials: Github: woen-robotics | Awards: Russian qualifier awards,"Part of the famous 'Workshop of Eternal Nonsense' organization and affiliated with the Presidential Physics and Mathematics Lyceum No. 239, WoEN:EDGE is a rookie team with a high technical pedigree. They have an OPR of 92.7 and a driver-controlled OPR of 63.0. Their organization is famous for high-performance software and clean mechanical design, making them a very high-potential pick for any alliance."
28419,GearLine,Cyprus,Rank: 3 | Record: 4W-1L-0T | OPR: 73.9 (No-Penalty OPR: 73.7) | Auto OPR: 27.7 | DC OPR: 46.0,Socials: Instagram: @gearline_ftc | Awards: 2nd Place Design Award; Winning Alliance member (Cyprus Championship),"GearLine is a prominent independent team from Cyprus that debuted in 2024. They have an OPR of 73.9, with a strong autonomous OPR of 27.7. They finished 2nd overall at the Cyprus Championship, winning the Design Award and being selected as a member of the Winning Alliance. They share detailed robot reveal videos and outreach posts on Instagram, showing a highly creative and strategic team that is excellent in alliance cooperation."
32881,Epiteugma Gladiators 2,"Lakatamia, Cyprus",Rank: 4 | Record: 5W-0L-0T | OPR: 76.3 (No-Penalty OPR: 72.5) | Auto OPR: 22.3 | DC OPR: 50.2,Socials: Instagram: @epiteugmarobotics | Awards: Cyprus Championship participants,"Part of the Epiteugma Robotics Lab in Cyprus, Epiteugma Gladiators 2 has a solid OPR of 76.3 (22.3 Auto, 50.2 Driver-Controlled). They benefit from the extensive knowledge pool of the Epiteugma lab, which fields multiple successful teams. They maintain a highly professional social media presence under the lab's main accounts, showing a disciplined approach to building and testing. They are a reliable mid-tier pick."
21539,Imagineers,"Maracaibo, Venezuela",Rank: 3 | Record: 8W-0L-0T | OPR: 88.5 (No-Penalty OPR: 67.9) | Auto OPR: 22.2 | DC OPR: 45.7,Socials: Instagram: @imagineers_ftc | Awards: Inspire Award 2nd Place (2025 Italy Championship); Judges' Choice Award (2024 Mexico Premier Event),"Imagineers is a highly decorated Venezuelan team, competing since 2022. They have an OPR of 88.5 and a reliable auto OPR of 22.2. They achieved 2nd place for the prestigious Inspire Award at the 2025 Italy Championship, proving their world-class outreach, presentation, and technical work. They are very active on Instagram and engage in global collaborations, making them an excellent culture fit and a highly dependable partner for any alliance."
25482,SIRIUS,"Chișinău, Moldova",Rank: 5 | Record: 6W-0L-0T | OPR: 82.5 (No-Penalty OPR: 67.5) | Auto OPR: 16.5 | DC OPR: 50.9,Socials: Instagram: @sirius_ftc | Awards: Inspire Award 2nd Place (Moldova Championship); Finalist Alliance & 3rd place Control Award (Italy Championship),"SIRIUS is Moldova's premier FTC team, showing excellent robot stats with an OPR of 82.5 (16.5 Auto, 50.9 Driver-Controlled). They are highly respected in the European region, having finished as finalists at the Italy Championship and won the Control Award 3rd place. They maintain a strong Instagram presence detailing their sensory integration and chassis designs. They are a highly competitive and strategic alliance selection."
28378,Epiteugma Revved Up Jr 2,"Lakatamia, Cyprus",Rank: 3 | Record: 5W-0L-0T | OPR: 67.8 (No-Penalty OPR: 66.5) | Auto OPR: 21.9 | DC OPR: 44.6,Socials: Instagram: @epiteugmarobotics | Awards: Finalist Alliance Captain & Innovate Award (2025 Cyprus Championship); Design Award & Winning Alliance (2024 Cyprus Championship),"Epiteugma Revved Up Jr 2 is a highly decorated team from the Epiteugma Robotics Lab in Cyprus. With an OPR of 67.8 (21.9 Auto, 44.6 Driver-Controlled), they have captained the Finalist Alliance at the 2025 Cyprus Championship and won the Innovate Award. Their history of alliance success and design recognition demonstrates their ability to perform under pressure and design creative hardware solutions."
21552,Astrobots,"Maracaibo, Venezuela",Rank: 13 | Record: 5W-3L-0T | OPR: 89.4 (No-Penalty OPR: 63.6) | Auto OPR: 29.8 | DC OPR: 33.8,Socials: Instagram: @astrobots_ve | Awards: Venezuela regional awards,"Astrobots is a competitive Venezuelan team with a solid rookie year in 2022. They possess a remarkably high autonomous OPR of 29.8, which represents a large portion of their overall OPR of 89.4. This highlights a very strong programming team and a highly reliable autonomous routine. They maintain a good Instagram presence showing their international event preparations. They are an excellent pick for alliances requiring a stable and high-scoring autonomous routine."
28080,VegaTech,"Ljubljana, Slovenia",Rank: 9 | Record: 6W-2L-0T | OPR: 70.3 (No-Penalty OPR: 59.8) | Auto OPR: 12.4 | DC OPR: 47.4,Socials: Instagram: @vegatech_ftc | Awards: Innovate Award (Germany & Italy Championships),"VegaTech is Slovenia's representative team, debuting in 2024. They have an OPR of 70.3 and a driver-controlled OPR of 47.4. They won the Innovate Award at both the Germany and Italy Championships, showing a high level of creative engineering and custom fabrication. They are very active on Instagram and GitHub, sharing their custom designs and sensor implementations. They represent a highly innovative and cooperative team."
33624,STRIKE,"Shymkent, Kazakhstan",Rank: 8 | Record: 4W-2L-0T | OPR: 51.5 (No-Penalty OPR: 55.8) | Auto OPR: 27.5 | DC OPR: 28.3,Socials: No social media found | Awards: Kazakhstan Central Asia Championship participant,"STRIKE is a rookie team from Kazakhstan that has shown quick progress, achieving an OPR of 51.5. Interestingly, their autonomous OPR of 27.5 is exceptionally high relative to their overall OPR, suggesting they have prioritized a highly consistent autonomous route over teleop cycles. This specialized capability makes them a potential sleeper pick for alliances looking to secure a strong autonomous lead."
25070,Talos EduRobots,"Ierapetra, Greece",Rank: 3 | Record: 5W-0L-0T | OPR: 59.2 (No-Penalty OPR: 52.4) | Auto OPR: 12.1 | DC OPR: 40.3,"Socials: Website: talosedurobots.gr, Instagram: @talos.edurobots | Awards: Finalist Alliance Award; Control Award (2026 Greece Championship)","Talos EduRobots is the proud Greece National Finalist and Control Award winner from Ierapetra, Crete. With a balanced OPR of 59.2 (12.1 Auto, 40.3 Driver-Controlled), they excel in control systems, sensor integration, and strategic gameplay. They maintain a highly professional website and Instagram account documenting their extensive community outreach and technical progress. As a local favorite in the division, their strong driver control and reliable programming make them an excellent strategic partner."
24032,Kodikas Robotics,"Brăila, Romania",Rank: 5 | Record: 3W-3L-0T | OPR: 60.9 (No-Penalty OPR: 51.7) | Auto OPR: 12.2 | DC OPR: 39.5,Socials: Instagram: @kodikas_robotics | Awards: local science festival demonstrations; Coanda Division participant,"Kodikas Robotics represents the Excellence Center of Brăila, Romania. With an OPR of 60.9 (12.2 Auto, 39.5 Driver-Controlled), they are a solid middle-tier team. They are highly active in public outreach, demonstrating their projects at science festivals and community events. They have a good Instagram presence documenting their testing phases. They represent a disciplined and enthusiastic team with clean build mechanics."
15242,STEAMachine,"Sleman, Indonesia",Rank: 5 | Record: 5W-1L-0T | OPR: 49.2 (No-Penalty OPR: 38.2) | Auto OPR: 2.5 | DC OPR: 35.7,"Socials: Instagram: @steamachine_ftc, Youtube: STEAMachine | Awards: Nusantara Championship awards","STEAMachine is one of the most veteran Indonesian teams, active since 2018. They have a driver-controlled OPR of 35.7 and an overall OPR of 49.2. They bring seven seasons of competition experience to the event, having competed widely in the Nusantara region. They maintain a good Instagram and YouTube presence showcasing their robot designs and outreach, representing a highly experienced and stable team."
26523,Pandurata,"Jogjakarta, Indonesia",Rank: 4 | Record: 4W-2L-0T | OPR: 47.1 (No-Penalty OPR: 36.8) | Auto OPR: 4.7 | DC OPR: 32.2,Socials: Instagram: @pandurata_ftc | Awards: 2nd Place Sustain Award (Nusantara Championship),"Pandurata is an Indonesian team that started in 2024. They have an OPR of 47.1, with a teleop OPR of 32.2. They won the Sustain Award 2nd place at the Nusantara Championship, indicating a highly durable and well-maintained robot design. They share updates on Instagram under @pandurata_ftc and represent a young, highly dedicated team that values build quality."
25163,NoktaParantez,"Istanbul, Turkey",Rank: 6 | Record: 2W-4L-0T | OPR: 41.7 (No-Penalty OPR: 36.5) | Auto OPR: 3.5 | DC OPR: 33.1,Socials: Instagram: @noktaparantez | Awards: Finalists (FTC Turkey 2nd Off-Season); Finalists for Design & Think Awards,"NoktaParantez is mentored by the prestigious Hisar Schools in Istanbul, Turkey. With an OPR of 41.7, they have demonstrated strong performance in local off-season tournaments, reaching the finals in the alliance format. They were recognized as finalists for both the Design and Think Awards, showing their excellent engineering portfolio and structure. They are highly active in teaching robotics and machine learning to middle school students, making them a very strong community-oriented team."
31570,Stark Robotics,"Chełm, Poland",Rank: 4 | Record: 2W-3L-0T | OPR: 25.8 (No-Penalty OPR: 31.7) | Auto OPR: 7.8 | DC OPR: 24.0,Socials: No social media found | Awards: Finalist Alliance (2026 Poland Championship),"Stark Robotics is a rookie Polish team that has had a spectacular first season, finishing 4th in qualification matches and advancing to the finals at the 2026 Poland Championship. They have an OPR of 25.8 (7.8 Auto, 24.0 Driver-Controlled). Their rapid rise and high-pressure tournament success show a very capable drive team and strategic focus, making them a high-value sleeper pick for the division."
34010,GoulmimaTeam,"Goulmima, Morocco",Rank: 2 | Record: 3W-2L-0T | OPR: 33.2 (No-Penalty OPR: 25.7) | Auto OPR: 6.0 | DC OPR: 19.8,Socials: No social media found | Awards: Winning Alliance (1st Selected); Innovate Award (2026 Morocco Championship),"GoulmimaTeam is a highly successful rookie team from Morocco. In their debut season, they won the Morocco Championship as the 1st selected team in the Winning Alliance and received the Innovate Award. They have a solid OPR of 33.2 (6.0 Auto, 19.8 Driver-Controlled). Their proven ability to perform on a championship winning alliance and their recognized design innovation make them a highly desirable alliance partner."
28735,Robotek Team,"Drama, Greece",Rank: 8 | Record: 4W-1L-0T | OPR: 13.9 (No-Penalty OPR: 20.8) | Auto OPR: -2.0 | DC OPR: 22.8,Socials: Instagram: @robotek_drama | Awards: Innovate Award (2025 Greece Championship),"Robotek Team is a Greek team from Drama, competing since 2023. They have an OPR of 13.9, with a teleop OPR of 22.8. They won the Innovate Award at the 2025 Greece Championship, demonstrating creative engineering designs. They qualified for the Istanbul Premier Event, showing their resilience and continuous improvement. They have a good Instagram presence showing their team efforts and outreach."
28552,3andi Blasti,"Mohammedia, Morocco",Rank: 6 | Record: 2W-3L-0T | OPR: 18.3 (No-Penalty OPR: 17.3) | Auto OPR: 1.3 | DC OPR: 16.1,Socials: Instagram: @3andi_blasti | Awards: Think Award; Connect Award (Morocco Championship),"3andi Blasti is an active Moroccan team that started in 2024. They have an OPR of 18.3. They are well-known in the region for their community contributions, including translating engineering portfolio resources into Arabic to help other teams. They won the Think and Connect Awards, proving their excellent documentation and community outreach. They represent a highly cooperative and valuable team to work with."
28788,Rabyte,"Legionowo, Poland",Rank: 7 | Record: 1W-4L-0T | OPR: 14.2 (No-Penalty OPR: 12.1) | Auto OPR: -1.0 | DC OPR: 13.1,Socials: No social media found | Awards: Poland Championship participant,"Rabyte is a Polish team that started in 2024. They have an OPR of 14.2, with a teleop score of 13.1. They compete regularly in the Polish FTC circuit. While they are still developing their scoring capabilities, they represent a disciplined team that is eager to learn and collaborate with international partners."
